,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 3.3. The earth orbiting the moon and the moon orbiting the earth.  Note that the centre of gravity is actually within the radius of the Earth, but it’s shown here outside the Earth for clarity.",https://docs.google.com/document/d/1kVbV_ZKWpxAXVZsxaKYeRu_1rWSHeWzDTj4kE0rcFTo/edit?tab=t.0#heading=h.10wsrvtoli81,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.4. Bulge in levels of water as due to the difference in forces experienced on either side of the earth.,https://docs.google.com/document/d/1kVbV_ZKWpxAXVZsxaKYeRu_1rWSHeWzDTj4kE0rcFTo/edit?tab=t.0#heading=h.nxjpzm9lfikp,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.5. Three masses initially in contact and after a time t.,https://app.diagrams.net/#G1VUQu2oPaeQoDuht1FZAogDb9ctaaq1FW#%7B%22pageId%22%3A%22VEYZokAZ8QBmupALWRnb%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.6. The pressure gradient in curved stream-lines.,https://app.diagrams.net/#G1VUQu2oPaeQoDuht1FZAogDb9ctaaq1FW#%7B%22pageId%22%3A%22e-ILFgQkDBfI6TThxJnb%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.7. Distances between the earth and moon used to calculate the height of tides using pressure.,https://app.diagrams.net/#G1VUQu2oPaeQoDuht1FZAogDb9ctaaq1FW#%7B%22pageId%22%3A%22wgaprcP960Kpm9VZ3aJI%22%7D,Screengrab from original manuscript and edited,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.8. Distances between the earth and moon used to calculate the height of tides using acceleration. The accelerations at P and O with the vector distances are shown.,https://app.diagrams.net/#G1VUQu2oPaeQoDuht1FZAogDb9ctaaq1FW#%7B%22pageId%22%3A%22K8oR6N-jdXf6lfOvs5tL%22%7D,Screengrab from original manuscript and edited,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.9. The components and resultant accelerations at four points on the earth’s surface. (a) Accelerations relative to the earth due to the forces from the moon. (b) accelerations resolved tangential and radial to the surface. (c) Tangential components are responsible for moving water on the surface of the earth.,https://app.diagrams.net/#G1VUQu2oPaeQoDuht1FZAogDb9ctaaq1FW#%7B%22pageId%22%3A%222Zqtc8_JcD6z46WxeMXx%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 3.10. The acceleration is balanced by gravity at a slope ψ.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 4 Light,,,,,,,,,,,,,,,,,,,,,,,,
,Fig.4.1. Slinky spring," OUP THIS IS A SCREEN SHOT FROM THE ONE SHOW, EPISODE 7pm 4 April 2014 https://www3.eng.cam.ac.uk/~hemh1/tv.htm#slinkies ",,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.2. The Wren Library ,https://www.opencambridge.cam.ac.uk/events/wren-library,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 4.3. Speckled laser light. ,"By The original uploader was Deglr6328 at English Wikipedia. - taken from user jurvetson on flickr: [1].Originally from en.wikipedia; description page is/was here., CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=1511764",,,,,,,,,,,,,,,,,,,,,,,
